,Computational Science & Engr,Computational Science & Engr,Computational Science & Engr,Computational Science & Engr,Computational Science & Engr,Computational Science & Engr,Computational Science & Engr,Computational Science & Engr,Computational Science & Engr,Computational Science & Engr,Computational Science & Engr,Computational Science & Engr,Computational Science & Engr,Computational Science & Engr,Computational Science & Engr,Computational Science & Engr,Computational Science & Engr,Computational Science & Engr,Computational Science & Engr,Computational Science & Engr,Computational Science & Engr,Computational Science & Engr,Computational Science & Engr
,Select,CRN,Subj,Crse,Sec,Cmp,Bas,Cred,Title,Days,Time,Cap,Act,Rem,WL Cap,WL Act,WL Rem,Instructor,Location,Attribute,Unnamed: 20_level_1,Unnamed: 21_level_1,Unnamed: 22_level_1
37,SR,26448,CS,6460,O01,O,L,3.0,Educ Tech-Foundations,,TBA,225,19,206,999,0,999,"Joyner, D. (P)",TBA,,,,
38,SR,26293,CS,6475,O01,O,L,3.0,Comp. Photography,,TBA,450,24,426,999,0,999,"Essa, I. (P)",TBA,,,,
39,SR,26441,CS,6476,O01,O,L,3.0,Computer Vision,,TBA,450,107,343,999,0,999,"Essa, I. (P)",TBA,,,,
40,C,29399,CS,6515,O01,O,L,3.0,Intro to Grad Algorithms,,TBA,300,300,0,999,611,388,"Brito, G. (P)",TBA,,,,
41,SR,26846,CS,6601,O01,O,L,3.0,Artificial Intelligence,,TBA,700,119,581,999,0,999,"Starner, T. (P)",TBA,,,,
42,C,35111,CS,6601,OAN,O,L,3.0,Artificial Intelligence,,TBA,50,50,0,50,50,0,"Starner, T. (P)",TBA,,,,
43,SR,35164,CS,6603,O01,O,L,3.0,AI Ethics Society,,TBA,300,209,91,999,0,999,"Howard, A. (P)",TBA,,,,
44,SR,32264,CS,6727,OCL,O,L,0.0,Cyber Sec Practicum,,TBA,30,4,26,0,0,0,"Ahamad, M. (P)",TBA,,,,
45,SR,32209,CS,6727,OCY,O,L,5.0,Cyber Sec Practicum,,TBA,30,4,26,50,0,50,"Ahamad, M. (P)",TBA,,,,
46,SR,32207,CS,6747,OCY,O,L,3.0,ADV Malware Analysis,,TBA,100,5,95,50,0,50,"Saltaformaggio, B. (P)",TBA,,,,
47,SR,27072,CS,6750,O01,O,L,3.0,Human-Computer Interact,,TBA,650,42,608,999,0,999,"Joyner, D. (P)",TBA,,,,
48,SR,29590,CS,6750,OCY,O,L,3.0,Human-Computer Interact,,TBA,25,16,9,50,0,50,"Joyner, D. (P)",TBA,,,,
49,C,34878,CS,7210,O01,O,L,3.0,Distributed Computing,,TBA,100,100,0,999,25,974,"Gavrilovska, A. (P)",TBA,,,,
50,SR,34879,CS,7280,O01,O,L,3.0,Network Science,,TBA,100,42,58,999,0,999,"Dovrolis, K. (P)",TBA,,,,
51,SR,35175,CS,7632,O01,O,L,3.0,Game AI,,TBA,100,99,1,999,0,999,"Wilson, J. (P)",TBA,,,,
52,SR,25809,CS,7637,O01,O,L,3.0,Knowledge-Based AI,,TBA,700,52,648,999,0,999,"Joyner, D. (P)",TBA,,,,
53,SR,29532,CS,7638,O01,O,L,3.0,Robotics: AI Techniques,,TBA,800,56,744,999,0,999,"Summet, J. (P)",TBA,,,,
54,SR,29333,CS,7639,O01,O,L,3.0,Cyber Physical Design,,TBA,100,14,86,999,0,999,"Feron, E. (P)",TBA,,,,
55,SR,25805,CS,7641,O01,O,L,3.0,Machine Learning,,TBA,900,321,579,999,0,999,"Isbell, C. (P)",TBA,,,,
56,SR,27655,CS,7642,O01,O,L,3.0,Reinforcement Learning,,TBA,500,53,447,999,0,999,"Isbell, C. (P)",TBA,,,,
57,C,35119,CS,7642,OAN,O,L,3.0,Reinforcement Learning,,TBA,100,100,0,0,0,0,"Isbell, C. (P)",TBA,,,,
58,SR,33072,CS,7643,O01,O,L,3.0,Deep Learning,,TBA,550,331,219,999,0,999,"Kira, Z. (P)",TBA,,,,
59,C,35257,CS,7643,OAN,O,L,3.0,Deep Learning,,TBA,50,50,0,50,50,0,"Kira, Z. (P)",TBA,,,,
60,SR,27038,CS,7646,O01,O,L,3.0,Mach Learn For Trading,,TBA,950,122,828,999,0,999,"Joyner, D. (P)",TBA,,,,
61,C,29822,CS,7646,OAN,O,L,3.0,Mach Learn For Trading,,TBA,150,150,0,50,50,0,"Joyner, D. (P)",TBA,,,,
62,SR,27547,CS,8803,O08,O,L,3.0,Special TopicsCompilers - Theory & Practice,,TBA,100,8,92,999,0,999,"Pande, S. (P)",TBA,,,,
63,SR,35176,CS,8803,O0A,O,L,3.0,Special TopicsSys Issues in Cloud Computing,T,06:00 pm-07:30 pm,25,5,20,999,0,999,"Ramachandran, U. (P)",TBA,,,,
64,SR,35177,CS,8803,O0B,O,L,3.0,Special TopicsSys Issues in Cloud Computing,W,08:30 pm-10:00 pm,25,11,14,999,0,999,"Ramachandran, U. (P)",TBA,,,,
65,SR,32144,CS,8803,O11,O,L,3.0,Special TopicsSystem and Network Defenses,,TBA,50,3,47,999,0,999,"Lee, W. (P)",TBA,,,,
66,SR,35112,CS,8803,OC1,O,L,3.0,Special Topics,,TBA,100,31,69,0,0,0,"Lummis, A. (P)",TBA,,,,
67,SR,32358,CS,8803,OCY,O,L,3.0,Special TopicsInfo Sec Lab Sys & Network Df,,TBA,100,3,97,0,0,0,"Lee, W. (P)",TBA,,,,
